@relation traindata

@attribute comment STRING    
@attribute class {positive,negative}

@data
'hemen onunde metro istasyonu bulunur',positive
'diger universiteler bogazici sabanci ve bilkenttir',positive
'sanirsam kadrolarina en son hacettepe universitesi devlet konservatuari caz anasanat dalinin kurucularindan oldukca degerli bir muzisyen olan emre kartari katildi',positive
'kampuse girmek icin kapidaki gorevliye acar misiniz denmesi yeterlidir ogrenci kartiydi turnikeydi hikaye',positive
'en guzel sinifi yafadir',positive
'kayit sonrasinda ogrencilerine 2 ay sonra bozulacak usb bellek mouse pad defter ve kalem verir',positive
'cok ciddiyim',positive
'izmir devlet tiyatrosu izmir devlet opera ve balesi sik olarak gosterilerini bu merkezde gerceklestirmektedir',positive
'ogrenci kalitesini de yakinda deneyimleyecegiz bakalim',positive
'izmirde bulunan bir universite',positive
'bkz christopher s wilson  bkz markus wilsing',positive
'emniyet teskilati icin insansiz hava araci tasarlayan egitim kurumu',positive
'bu sene yuzde 75 burslu bolumler acip acmayacagini merak ettigim universite',positive
'internet sitesi  olan universite',positive
'twitter hesabi aktif olarak kullanilmaya baslanmistir',positive
'babamin havalandirma projesini yaptigi okul',positive
'buyrunuz bu da tanitim filmi oluyor',positive
'kendimi de gordum kisa bir sureligine filmde',positive
'bkz bir devlet universitesi',positive
'biyomedikal muhendisligini istedigim universite',positive
'bildigim kadariyla sadece ya da cogunlukla lisansustu seviyesinde egitim veren bir enstitu',positive
'tip fakultesi bu sene icraate acilan universite',positive
'her ne kadar izmirli olsam da yerini tam olarak bilmiyorum',positive
'izmirin 8. universitesi',positive
'saka maka guzel sanatlar fakultesinin egitim kadrosu cok iyidir',positive
'cok kaliteli hocalar var bu fakulte bunyesinde',positive
'oldukca sirin bir kampuse sahip universite',positive
'su yas siniri hedesi olmasa bir saniye dusunmeden basvuracagim universite',positive
'bkz gelecegin odtusu',positive
'cok iyi hocalara ve tikir tikir isleyen bir kutuphaneye sahip 20 sene sonra marka bir okul olacagi asikar ama tabi once turk halkinin yuksek teknoloji enstitulerinin 2 yillik olmadigini ogrenmesi gerekiyor',positive
'cekemeyenlerin bok attigi super imkanlara sahip universite',positive
'arkadasliklari unutulmazdir',positive
'cok karizmatik bir adi olan universite',positive
'izmirin en iyi hastanesi kabul edilebilecek olan sifa hastanesinin saglik alanindaki ogrenim kismi',positive
'okuldayken degerini anlayamamis olabiliriz ama yok boyle bir universite',positive
'halen devam edenler degerini bilin okulumuzun',positive
'herseyiyle mukemmel universite',positive
'1955 itibariyle izmir bornovada kurulmus guzide ogretim kurumu',positive
'turkiyenin sayili universitelerinden yeri de guzel her seyi guzel',positive
'hayallerimize oturmus tek universite',positive
'bkz turkiyenin en iyi beles universitesi',positive
'turkiyede ilk kez aktif egitim uygulayan universite',positive
'tip fakultesi hastanesi gordugum en guzel ozel olmayan hastane',positive
'kesfedilemeyen nadide universitelerden biridir',positive
'genc uretken nitelikli  sloganiylada gonulleri fetheden universite',positive
'bilmeyenlerin hakkinda kotu seyler yazdigi ve yeni yapilan kampusuyle baya bir gelisme gosteren universite',positive
'sahanedir',positive
'almanyada uluslararasi bir universite kurmak icin girisimlerde bulunan kurum',positive
'egosunu tatmin etmek isteyecek zeki insanlara tavsiye edilebilecek olan okul',positive
'ama egitiminin iyi oldugu soylenebilecek onemli bir universitedir',positive
'eskiden alsancak stadinin yaninda olan guzel sanatlar fakultesinde guzel gunler gecirdigim ikinci goz agrim',positive
'yeni bir universite olmasina karsin enerji alanindaki cabalarini takdir ettigim universitedir',positive
'gunes enerjisi ve ruzgarla calisan hibrit santral projelerini devreye almislardir',positive
'calisan personellerinin cogunun guler yuzlu yardimsever oldugu ve sicak bir aile ortami olusturan universitedir',positive
'hocalar genellikle mutevazi ve iyi niyetli',positive
'10 yila kadar sayili universiteler arasina girebilir',positive
'cunku gercekten buyuk bir alani sahiplenmisler ve egitim olarakta mini odtu yakistirilmasi yapilir',positive
'egitimi yonunden tercih edilesi',positive
'kesinlikle tercih edilebilir bir okul aldiginiz egitimden memnun kalacaksiniz',positive
'binalar filan guzel kampus devasa',positive
'biraz daha merkezi bi yerde olsaydi itu ve odtu ile yarisirdi',positive
'yine de izmirde muhendislik okumak isteyenler bunyeler icin ilk tercih olmali kesinlikle',positive
'mesela ytu ile iyte arasinda kalinsa kesinlikte iyte',positive
'egitim kalitesiyle turkiyedeki seckin universiteler arasinda olan okuldur',positive
'gerek fiziki imkanlari gerek hocalarinin sahip oldugu niteliklerle okurken farkinda olmasaniz bile mezun oldugunuzda size sadece ne kadar iyi bir egitim aldiginizi anlamak dusecektir',positive
'her ne kadar kampus olanaklari son yillarda gelismeye basladiysa da yine de ulasmaya calistigi standart dolayisiyla takdir ettigim bir universitedir',positive
'arabaniz varsa yarim saatte cesmeye gitmeniz olasidir taze balik yiyip guzel bir kahvalti yapabileceginiz mekanlar yine arabaniz varsa elinizin altindadir',positive
'yuruyerek kampusten sahile ulasabilirsiniz',positive
'kutuphanesi turkiyedeki universite kutuphaneleri icinde ilk beste sayilabilecek kapasitede ve kalitededir',positive
'yurtlari guzeldir iki kisiliktir ve saka gibi denebilecek duzeyde 90 tl idi benim zamanimda uygun fiyatlara kalirsiniz',positive
'guzel yillarim gecti okurken de seviyordum hala da seviyorum universitemi',positive
'evet gelismektedir',positive
'beklendigi gibi pek kalabalik olmamakla beraber bir hayli eglenceliydi',positive
'edebiyat fakultesi alman dili ve edebiyati bolumunde cok degerli hocalarin bulundugu universite',positive
'okuldan cok tatil koyune benzeyen yer',positive
'daha once sicaktan telef olanlar da olmus olsa gerek siniflar klimali konfor da gayet yerinde',positive
'her konuda alabildigine liberaldir',positive
'yinede tadindan yenmez pek guzel universite',positive
'yani paintball toplulugu olsun dis hekimligi olsun hepsi pek guzeldir',positive
'ama kampus cok guzel ferah kantinler ayni sekilde genis ferah ve de cok sayida',positive
'isletme fakultesi mezunlarinin daha mezun olmadan kapisildigi bir universitemiz',positive
'kampusu turkiyedeki bircok kampusten daha iyi olan gercekten guzel bir kutuphaneye ve kultur merkezine sahip olan universite',positive
'sitki kocmanin yaptigi bagislarla kisa surede gelismistir',positive
'izmirin guzide universitelerindendir',positive
'eksikleri olsa da her gecen gun geliserek dunya capinda bir universite olmasi hedeflenen kurum',positive
'turkiyenin en buyuk universitelerinden biri',positive
'ea ogrencilerinin gonul rahatligiyla tercih edebilecegi universite',positive
'oldukca kaliteli egitim veren guzide universitedir',positive
'izmir gibi dunya guzeli medeniyet esigi sehirde konuslanmistir',positive
'kim ne derse desin bunyesindeki ogrencilerinin cogunun cok mutlu oldugu bi universite',positive
'buyuk yesil kampus sifat tamlamasinin tam karsiligi',positive
'mukemmel bir kampuse sahip universite',positive
'esogunun corak arazisinden sonra bana cennet gibi gelmisti',positive
'yazin kampusun bos olmasina ragmen uzunca vakit sikilmadan zaman gecirdik',positive
'tatil yerlerine arabayla yarim saatte ulasabiliyor olmaniz ise gercekten sahane',positive
'yaz okuluna kalmak icin ideal okul',positive
'kutahyada okuyan muglali biri olarak keske mugla sitki kocman universitesinde okusaydim diyorum',positive
'ama mugla gercekten tam bir ogrenci sehri',positive
'ozellikle isletme fakultesi ve hukuk fakultesinde basarili bir universite',positive
'kutuphanesi bir cok universiteye gore asmis universite bkz mugla universitesi kutuphanesi',positive
'ogrencilerinin de ogretim elemanlarinin da turkiyedeki en sansli gruplar oldugu asikar olan universite',positive
'kiymetini bilsinler adamin asabini bozmasinlar',positive
'sitki kocman isimli sahis tarafindan abarti miktarda para bagislanmasi sonucu bir anda turkiyenin en cabuk buyuyen universitesi olmayi basarmis universite',positive
'ancak belirtmek isterim ki binalari cogu devlet okulunda gorulemeyecek niteliklerde oldukca yeni ve kampus ozel bir universiteyi andiriyor',positive
'hacettepenin beytepe kutuphanesinden daha fazla ogrenciye calisma ortami sunan bir kutuphanesi var',positive
'kampusun her yerine en cok 10 dakikada yurunuyor ders arasinda kutuphaneye filan ugrayabilmek buyuk bir nimet',positive
'yemekhaneden  cikip 10 dakikada derse girebilmekse inanilmaz',positive
'hele kampusun kapisindan cikip dolmusa bindiginizde 15 dakika sonra akyakada oluyorsaniz o kampus tadindan yenmez',positive
'dort yaninda dag manzarasi olan oksijeni bol ve yesil universiteler cok az guzel yurdumda',positive
'her yeri yeni olup da bina yigini gibi gorunmeyen kampus havasi olusturabilmis cok az universite var',positive
'ogrencilerinin yuzde 70 inin yaz okuluna kalmak icin ders biraktigi universite',positive
'cok guzel kapsamli ve iyi dusunulmus bir kultur merkezine konser salonuna sahip oldugunu gordugum universite',positive
'tebrik etmek lazim',positive
'ustelik yeni ogrenci bilgi sistemi pek hos olmus',positive
'an itibari ile internetten kayit yenilemek  ders secimi yapmak mumkun ve rahat',positive
'ingilizce ogretmenligi bolumunun super azimli oldugunu duydugum universite',positive
'busene basinda yapilan cevre duzenlemesi ile biraz adama benzeyen universite',positive
'bazi bolumlerinin cok rahat oldugu devamlilik aramadigi sinavdan sinava gelinip ders gecilebilecegini bizzat gordugumuz bir ilim irfan yuvasi',positive
'son zamanlarda cok iyi hocalari bunyesine katan universitedir',positive
'egitim kalitesi gunden gune katlanarak artiyor',positive
'izmirin lokasyon olarak ulasimi en rahat universitesidir',positive
'mimari yapi ve tasarim olarak ise basarili bir universite',positive
'iddia edilene gore avrupanin en iyi ilk 20 universitesinden birisi olup amerikan yale universitesinin turkiyede ikili iliskide bulundugu dort universiteden birisidir',positive
'yakin gelecekte muzik bolumunun adini sik sik duyacagimizi dusundugum universite',positive
'suan da gayet guzel isler yapiyorlar',positive
'ogretim kadrosu da oldukca guclu ve guclenmeye devam etmekte',positive
'erasmusta turkiyeden en cok ogrenci gonderen universite',positive
'erasmus ofisi ve ogrenci isleri cok iyi calisir',positive
'kutuphanesinde cok iyi kaynaklar bulunur fotograf studyosu muhtesemdir',positive
'hocalari ise eglenceli ve bilgi doludur',positive
'sosyal ve kulturel etkinlikler acisindan oldukca zengin bir universitedir',positive
'universiteler arasinda en iyi kultur merkezlerinden birisine sahiptir',positive
'kampusu izmirdeki diger vakif universitesi kampuslerine kiyasla kesinlikle daha iyi',positive
'ogrenci sarayi denen yemekhanesi cidden gorkemlidir saraydir bitanedir',positive
'ogrenci ogretmen ayrimi yoktur rektor bile orada yer',positive
'yakin zamanda amator pilot yetistirmeye baslayacak universite',positive
'akademik kadrosu bir cok universiteden iyi olan sadece kampusu olmadigi icin yapilan olumsuz elestirileri hak etmeyen universite',positive
'ic mimarlik fakultesinin bilkent in en iyi hocalarindan kurmus okul',positive
